BARRIO,CLIENTE,MNT TRX,PORCENTAJE POR CLIENTE
Puerta del Sol,-3.20E+18,1.2321E+12,0.77
La Flora,3.12E+18,9.2517E+11,0.58
Ville Grande,-1.56E+18,9.20062E+11,0.58
Versalles,-2.68E+17,9.13338E+11,0.57
Cristobal Colón,7.42E+17,9.07573E+11,0.57
San Judas Tadeo II,-8.41E+18,8.83948E+11,0.55
Chapinero,8.76E+18,8.27859E+11,0.52
San Nicolás,-2.19E+17,7.06915E+11,0.44
San Nicolás,-2.44E+18,7.045E+11,0.44
Los Guayacanes,7.88E+18,6.73585E+11,0.42
San Nicolás,-7.42E+18,6.58695E+11,0.41
San Pedro,-8.67E+18,5.97972E+11,0.38
Colseguros Andes,3.79E+18,5.45358E+11,0.34
La Rivera,8.09E+18,5.38259E+11,0.34
Municipal,-3.45E+18,5.31744E+11,0.33
San Nicolás,2.36E+18,4.77932E+11,0.3
Los Parques,-2.21E+18,4.51989E+11,0.28
San Nicolás,-1.65E+18,4.43461E+11,0.28
Lili,7.72E+17,4.37847E+11,0.27
Ciudad Córdoba,-7.24E+18,4.15501E+11,0.26
Alirio Mora Beltrán,7.18E+18,4.10225E+11,0.26
Municipal,5.49E+18,3.9227E+11,0.25
La Libertad,7.42E+17,3.88106E+11,0.24
San Nicolás,4.74E+18,3.84493E+11,0.24
Nueva Floresta del Ict,1.55E+18,3.73081E+11,0.23
La Fortaleza,-4.83E+18,3.72801E+11,0.23
Nueva Floresta del Ict,8.65E+18,3.45099E+11,0.22
Unidad Residencial Santiago de Cali,-7.49E+18,3.42372E+11,0.21
La Ciudadela Confandi,3.12E+18,3.34427E+11,0.21
Unidad Residencial Santiago de Cali,-2.19E+17,3.14914E+11,0.2
Colseguros Andes,-7.90E+18,3.05685E+11,0.19
El Cedro,7.77E+17,3.03717E+11,0.19
Lili,-1.93E+18,2.95934E+11,0.19
Bretana,-4.89E+18,2.94498E+11,0.18
Nueva Floresta del Ict,-1.53E+17,2.93575E+11,0.18
Nueva Floresta del Ict,-9.97E+17,2.89137E+11,0.18
La Fortaleza,-1.64E+18,2.81658E+11,0.18
Industrial,-8.72E+18,2.7458E+11,0.17
Industrial,7.82E+18,2.7458E+11,0.17
Ville Grande,-6.42E+18,2.74418E+11,0.17
Belén,-5.38E+18,2.71515E+11,0.17
El Cedro,-4.89E+18,2.71177E+11,0.17
San Nicolás,-6.62E+18,2.69956E+11,0.17
El Gran Limonar,-5.23E+18,2.67833E+11,0.17
Urbanización La Flora,1.14E+18,2.67628E+11,0.17
Ville Grande,-1.05E+18,2.66049E+11,0.17
Colseguros Andes,3.12E+18,2.65653E+11,0.17
San Nicolás,8.80E+18,2.60503E+11,0.16
Prados del Norte,-8.26E+18,2.54911E+11,0.16
Los Libertadores,-4.55E+18,2.52888E+11,0.16
La Ciudadela Confandi,7.17E+18,2.51912E+11,0.16
Nueva Floresta del Ict,1.27E+18,2.51829E+11,0.16
Paseo del Comercio,6.66E+18,2.51292E+11,0.16
Nueva Floresta del Ict,-2.65E+18,2.42502E+11,0.15
Unicentro Cali,6.05E+18,2.41493E+11,0.15
Santa Rosa,1.31E+18,2.3692E+11,0.15
San Nicolás,8.19E+18,2.36018E+11,0.15
Paseo del Comercio,-7.18E+18,2.35245E+11,0.15
Siete de Agosto,1.26E+18,2.3135E+11,0.15
Laureano Gómez,-9.10E+18,2.31212E+11,0.15
Calima,6.97E+17,2.29167E+11,0.14
El Jardín,-6.60E+18,2.28553E+11,0.14
Paseo de los Almendros,-2.44E+18,2.26365E+11,0.14
Los Parques,4.53E+18,2.24344E+11,0.14
Sucre,-8.43E+18,2.20605E+11,0.14
Ciudad Los Álamos,-2.83E+18,2.19155E+11,0.14
Sucre,-5.48E+18,2.09844E+11,0.13
